AboutUs|AboutUsBot|
AboutUs|www.aboutusbot.org|
AideRSS|aiderss.com|
Alexa|ia_archiver|
AltaVista|Scooter-|
Apple PubSub|Apple-PubSub|
Archive.org|archive.org_bot|
Ask|Jeeves/Teoma|
BackType|kame|
BackType|support@backtype.com|
Baidu|Baiduspider|
BecomeBot|BecomeBot|
Bing|www.bing.com|
Biz360|Biz360|
Blogged|blogged_crawl|
Bloggsi|http://bloggsi.com/|
Bloggsi|Bloggsi|
Bloglines|Bloglines|
BlogPulse|BlogPulse|
BlogScope|BlogScope|
BlogScope|www.blogscope.net|
BlogShares.com|Zipping Along V|
Bluecoat|Bluecoat|
Bookmark Sync2it|sync2it.com|
Browsershots|Browsershots|
Browsershots|Browsershots.org|
BuzzLogic|www.buzzlogic.com|
BuzzLogic|BuzzLogic|
Camdiscover|Camcrawler|
Camdiscover|www.camdiscover.com|
CatchBot|CatchBot|
Cazoodle|Cazoodle|
CazoodleBot|cazoodle|
CCBot|CCBot|
CCBot|commoncrawl.org/bot.html|
Cityreview|cityreview|
Rivva|Rivva|
Rivva|rivva.de|
VerticalSearchWorks|ConveraCrawler|
Cuil|Twiceler|
cURL|curl|
discobot|discobot|
DiscoveryEngine|disco/Nutch|
DotBot|DotBot|
Exalead|Exabot|
Ezooms|ezooms.bot@gmail.com|
Fastsearch|FASTMetaWebCrawler|
Fastsearch|fastsearch|
FeedBurner|FeedBurner|
Gaisbot|Gaisbot|
Gigablast|gigablast|
Gigablast|Gigabot|
Google AdSense|Mediapartners-Google|
Google Reader|Feedfetcher-Google|
Google Images|Googlebot-Image|
Google Mobile|Googlebot-Mobile|
Google|Googlebot|
Google|googlebot|
Guruji|GurujiBot|
Heritrix|heritrix|
ICC-Crawler|ICC-Crawler|
Icerocket|BlogSearch|
ichiro|ichiro|
NetSeer|ilial/Nutch|
Indian Language Web|IIITBOT|i|
Indy Library|IndyLibrary|
IRLbot|IRLbot|
Jyxobot|jyxo.cz|
KaloogaBot|KaloogaBot|
KiwiStatus|KiwiStatus|
LinkedIn|www.linkedin.com|
Livedoor|livedoorScreenShot|
llssbot|llssbot|
LookSmart|grub-client|
Magpie-crawler|brandwatch.net|
MagpieRSS|MagpieRSS|
Majestic-12|MJ12bot|
Megite|Megite2.0|
METASpider|METASpider|
Microsoft Bot|MSRBOT|
MLBot|metadatalabs.com|
Moreover|Moreoverbot|
MP3 Bot|mp3realm.org|
Bing|MSMOBOT|
Bing|msnbot|
Naver|Cowbot|
Naver|naver.com|
Naver|NaverBot|
Netcraft|Netcraft|
Netseer|Teemer|
NetSeer|NetSeer|
Netseer|www.netseer.com|
Exalead|NG/2.0|
Nexen|www.nexen.net|
Picsearch|www.picsearch.com|
PlantyNet|PlantyNet|
PostRank|postrank.com|
Radian6|R6_CommentReader|
Radian6|R6_FeedFetcher|
Radian6 radiarss|www.radian6.com|
Runnk|runnk|
ScoutJet|www.scoutjet.com|
ScSpider|ScSpider|
Searchme|searchme.com|
SimplePie|SimplePie|
Site Bot|sitebot|
Snap|Snap|
Sogou|Sogou|
Sogou|www.sogou.com|
Sosospider|soso.com|
Entireweb|entireweb.com|
Outbrain|SphereScout|
Spinn3r|Spinn3r|
Spoke|SpokeSpider|
Summify|Summify|
Synoo|Synoobot|
Spinn3r|Tailrank|
Spinn3r|www.tailrank.com|
Technorati|Technoratibot|
Trendiction|trendictionbot|
Turnitin|TurnitinBot|
Turnitin|turnitin|
Twingly|TwinglyRecon|
Twitter|Twitterbot|
Twitturls|twitturls|
Twitturly|Twitturly|
UMBC Memeta|UMBC-Memeta|
UniversalFeedParser|UniversalFeedParser|
urlfan|urlfan-bot|
urlfan|www.urlfan.com|
VadixBot|VadixBot|
WiseGuys|wise-guys|
vBSEO|vBSEO|
Visvo|Visvo|
Voila|VoilaBot|
W3C Validator|W3C_Validator|
WASALive|blog.wasalive.com|
WASALive|wasalive-bots|
WebAlta|WebAltaCrawler/|
Weive|weive|
Weive|weivel|
Whitevector|Whitevector|
Whitevector|whitevector|
Wikio|Wikio|
Wikio|wikio|
WordPress|WordPress|
Worio|woriobot|
Xenu Link Sleuth|XenuLink|
xMind|xMind|
YaCy|yacybot|
Yahoo|YahooFeedSeeker|
Yahoo|Yahoo-Yahoo-YSM|
Yahoo Japan|Y!J-|
Yahoo|yahoo.com|
Yahoo|MMCrawler|
Yahoo|slurp@inktomi|
Yahoo|Yahoo-Test|
Yahoo|Yahoo!Slurp|
Yahoo|YahooCacheSystem|
Yandex|yandex|
Yandex|Yandex|
Yanga|Yanga|
Yodao|YodaoBot|
Youdao|YoudaoBot|
Unknown Spam Bot|Mozilla/4.0(compatible;)|
Unknown Spam Bot|Mozilla/0.6Beta(Windows)|
Unknown Spam Bot|Mozilla/0.91Beta(Windows)|
Unknown Spam Bot|Java/1.6.0_20|
