100Links|100links.supereva.it|q|
abcsearch.com|abcsearch.com|terms|
Alexa|alexa.com|q|alexa|
Alice|ricerca.alice.it|qs|alice|
Alice|search.alice.it|qs|
Yahoo|alltheweb.com|q|
alot|search.alot.com|q
Altavista|.altavista.com|q|
Aol|aolrecherches.aol.fr|query|
Aol|search.aol.com|query|
Arianna|arianna.libero.it|query|
Ask|ask.com|ask|
Ask|ask.com|q|
Bing|bing.com|q|
DMOZ|search.dmoz.org|search|
Dogpile|dogpile.com|q|
Google Beta|encrypted.google.com|q
Excite|excite.|q|
Freenet.de|suche.freenet.de|query|
Yahoo|fr.search.yahoo.com|p
Google Blog Search|blogsearch.google.|q|
Google Groups|groups.google.|q|
Google Images|images.google.|q|
Google|www.google.|q|
HotBot|hotbot.|query|
ICQ|search.icq.com|q|
Incredimail|incredimail.com|q|
ItaliaPuntoNet|italiapuntonet.net|search|
ixquick|ixquick.com|query|
Kataweb|kataweb.it|q|
Lycos|cerca.lycos.it|query|
Lycos|lycos.|q|
Google Maps|maps.google.fr|q|
Metacrawler|metacrawler.|q|
My Way|mysearch.myway.com|searchfor|
PagineGialle|paginegialle.it|qs|
Rambler|nova.rambler.ru/srch|query|
Alice|rechercher.aliceadsl.fr|q|
Search|search.com|q|
Search|search.it|srctxt|
search.autocompletepro|search.autocompletepro.com|q|
search.babylon|search.babylon.com|q
Supereva|supereva.it|q|
sweetim|search.sweetim.|q|
Bing|search.live.com|q|
Teoma|teoma.com|q|
Tiscali|search-dyn.tiscali.|key|
Virgilio|ricerca.alice.it/ricerca|qs|
Virgilio|search.virgilio.it|qs|
Voila|voila.fr|kw|
Web.de|web.de|su|
Yahoo|search.yahoo.com|p|
Yandex|yandex.ru/yandsearch|text|

